fecha,sintomas_nuevos,ingreso_nuevos,muertes_nuevas,sintomas_acumulados,ingreso_acumulados,muertes_acumuladas,estado
2020-03-25,4,2,0,31,17,0,Michoacán
2020-03-26,2,3,1,33,20,1,Michoacán
2020-03-27,3,1,0,36,21,1,Michoacán
2020-03-28,1,1,0,37,22,1,Michoacán
2020-03-29,1,3,0,38,25,1,Michoacán
2020-03-30,2,0,0,40,25,1,Michoacán
2020-03-31,1,4,0,41,29,1,Michoacán
2020-04-01,10,4,0,51,33,1,Michoacán
2020-04-02,3,0,0,54,33,1,Michoacán
2020-04-03,3,6,2,57,39,3,Michoacán
2020-04-04,3,2,1,60,41,4,Michoacán
2020-04-05,6,2,0,66,43,4,Michoacán
2020-04-06,5,6,1,71,49,5,Michoacán
2020-04-07,15,6,0,86,55,5,Michoacán
2020-04-08,8,4,1,94,59,6,Michoacán
2020-04-09,7,9,1,101,68,7,Michoacán
2020-04-10,10,3,1,111,71,8,Michoacán
2020-04-11,8,2,1,119,73,9,Michoacán
2020-04-12,10,4,0,129,77,9,Michoacán
2020-04-13,17,13,4,146,90,13,Michoacán
2020-04-14,8,15,1,154,105,14,Michoacán
2020-04-15,5,9,0,159,114,14,Michoacán
2020-04-16,11,8,2,170,122,16,Michoacán
2020-04-17,15,13,0,185,135,16,Michoacán
2020-04-18,10,7,1,195,142,17,Michoacán
2020-04-19,4,9,2,199,151,19,Michoacán
2020-04-20,9,25,4,208,176,23,Michoacán
2020-04-21,3,12,0,211,188,23,Michoacán
2020-04-22,2,9,1,213,197,24,Michoacán
2020-04-23,0,11,3,213,208,27,Michoacán
2020-04-24,0,4,2,213,212,29,Michoacán
2020-04-25,0,1,4,213,213,33,Michoacán
2020-04-26,0,0,0,213,213,33,Michoacán
2020-04-27,0,0,0,213,213,33,Michoacán
2020-03-02,1,0,0,1,0,0,Morelos
2020-03-03,0,0,0,1,0,0,Morelos
2020-03-04,0,0,0,1,0,0,Morelos
2020-03-05,0,0,0,1,0,0,Morelos
2020-03-06,0,0,0,1,0,0,Morelos
2020-03-07,0,0,0,1,0,0,Morelos
2020-03-08,0,0,0,1,0,0,Morelos
2020-03-09,0,0,0,1,0,0,Morelos
2020-03-10,1,0,0,2,0,0,Morelos
2020-03-11,0,0,0,2,0,0,Morelos
2020-03-12,0,0,0,2,0,0,Morelos
2020-03-13,0,0,0,2,0,0,Morelos
2020-03-14,1,1,0,3,1,0,Morelos
2020-03-15,0,0,0,3,1,0,Morelos
2020-03-16,1,0,0,4,1,0,Morelos
2020-03-17,1,1,0,5,2,0,Morelos
2020-03-18,1,1,0,6,3,0,Morelos
2020-03-19,1,0,0,7,3,0,Morelos
2020-03-20,1,1,0,8,4,0,Morelos
2020-03-21,2,1,0,10,5,0,Morelos
2020-03-22,2,0,0,12,5,0,Morelos
2020-03-23,3,2,0,15,7,0,Morelos
2020-03-24,0,3,0,15,10,0,Morelos
2020-03-25,1,0,0,16,10,0,Morelos
2020-03-26,2,0,0,18,10,0,Morelos
2020-03-27,2,0,0,20,10,0,Morelos
2020-03-28,3,2,1,23,12,1,Morelos
2020-03-29,1,1,1,24,13,2,Morelos
2020-03-30,4,2,0,28,15,2,Morelos
2020-03-31,3,1,1,31,16,3,Morelos
2020-04-01,9,3,1,40,19,4,Morelos
2020-04-02,4,8,0,44,27,4,Morelos
2020-04-03,3,1,0,47,28,4,Morelos
2020-04-04,6,2,0,53,30,4,Morelos
2020-04-05,6,3,0,59,33,4,Morelos
2020-04-06,2,8,1,61,41,5,Morelos
2020-04-07,3,7,1,64,48,6,Morelos
2020-04-08,6,6,1,70,54,7,Morelos
2020-04-09,1,6,0,71,60,7,Morelos
2020-04-10,10,1,0,81,61,7,Morelos
2020-04-11,4,1,0,85,62,7,Morelos
2020-04-12,5,3,0,90,65,7,Morelos
2020-04-13,13,7,3,103,72,10,Morelos
2020-04-14,6,10,0,109,82,10,Morelos
2020-04-15,10,7,1,119,89,11,Morelos
2020-04-16,10,8,1,129,97,12,Morelos
2020-04-17,11,5,2,140,102,14,Morelos
2020-04-18,24,3,0,164,105,14,Morelos
2020-04-19,11,10,3,175,115,17,Morelos
2020-04-20,12,19,2,187,134,19,Morelos
2020-04-21,3,13,0,190,147,19,Morelos
2020-04-22,3,19,5,193,166,24,Morelos
2020-04-23,1,17,3,194,183,27,Morelos
2020-04-24,0,11,1,194,194,28,Morelos
2020-04-25,0,0,0,194,194,28,Morelos
2020-04-26,0,0,0,194,194,28,Morelos
2020-04-27,0,0,0,194,194,28,Morelos
2020-01-06,1,1,0,1,1,0,Nayarit
2020-01-07,0,0,0,1,1,0,Nayarit
2020-01-08,0,0,0,1,1,0,Nayarit
2020-01-09,0,0,0,1,1,0,Nayarit
2020-01-10,0,0,0,1,1,0,Nayarit
2020-01-11,0,0,0,1,1,0,Nayarit
2020-01-12,0,0,0,1,1,0,Nayarit
2020-01-13,0,0,0,1,1,0,Nayarit
2020-01-14,0,0,0,1,1,0,Nayarit
2020-01-15,0,0,0,1,1,0,Nayarit
2020-01-16,0,0,0,1,1,0,Nayarit
2020-01-17,0,0,0,1,1,0,Nayarit
2020-01-18,0,0,0,1,1,0,Nayarit
2020-01-19,0,0,0,1,1,0,Nayarit
2020-01-20,0,0,0,1,1,0,Nayarit
2020-01-21,0,0,0,1,1,0,Nayarit
2020-01-22,0,0,0,1,1,0,Nayarit
2020-01-23,0,0,0,1,1,0,Nayarit
2020-01-24,0,0,0,1,1,0,Nayarit
2020-01-25,0,0,0,1,1,0,Nayarit
2020-01-26,0,0,0,1,1,0,Nayarit
2020-01-27,0,0,0,1,1,0,Nayarit
2020-01-28,0,0,0,1,1,0,Nayarit
2020-01-29,0,0,0,1,1,0,Nayarit
2020-01-30,0,0,0,1,1,0,Nayarit
2020-01-31,0,0,0,1,1,0,Nayarit
2020-02-01,0,0,0,1,1,0,Nayarit
2020-02-02,0,0,0,1,1,0,Nayarit
2020-02-03,0,0,0,1,1,0,Nayarit
2020-02-04,0,0,0,1,1,0,Nayarit
2020-02-05,0,0,0,1,1,0,Nayarit
2020-02-06,0,0,0,1,1,0,Nayarit
2020-02-07,0,0,0,1,1,0,Nayarit
2020-02-08,0,0,0,1,1,0,Nayarit
2020-02-09,0,0,0,1,1,0,Nayarit
2020-02-10,0,0,0,1,1,0,Nayarit
2020-02-11,0,0,0,1,1,0,Nayarit
2020-02-12,0,0,0,1,1,0,Nayarit
2020-02-13,0,0,0,1,1,0,Nayarit
2020-02-14,0,0,0,1,1,0,Nayarit
2020-02-15,0,0,0,1,1,0,Nayarit
2020-02-16,0,0,0,1,1,0,Nayarit
2020-02-17,0,0,0,1,1,0,Nayarit
2020-02-18,0,0,0,1,1,0,Nayarit
2020-02-19,0,0,0,1,1,0,Nayarit
2020-02-20,0,0,0,1,1,0,Nayarit
2020-02-21,0,0,0,1,1,0,Nayarit
2020-02-22,0,0,0,1,1,0,Nayarit
2020-02-23,0,0,0,1,1,0,Nayarit
2020-02-24,0,0,0,1,1,0,Nayarit
2020-02-25,0,0,0,1,1,0,Nayarit
2020-02-26,0,0,0,1,1,0,Nayarit
2020-02-27,0,0,0,1,1,0,Nayarit
2020-02-28,0,0,0,1,1,0,Nayarit
2020-02-29,0,0,0,1,1,0,Nayarit
2020-03-01,0,0,0,1,1,0,Nayarit
2020-03-02,0,0,0,1,1,0,Nayarit
2020-03-03,0,0,0,1,1,0,Nayarit
2020-03-04,0,0,0,1,1,0,Nayarit
2020-03-05,0,0,0,1,1,0,Nayarit
2020-03-06,0,0,0,1,1,0,Nayarit
2020-03-07,0,0,0,1,1,0,Nayarit
2020-03-08,0,0,0,1,1,0,Nayarit
2020-03-09,0,0,0,1,1,0,Nayarit
2020-03-10,1,0,0,2,1,0,Nayarit
2020-03-11,0,0,0,2,1,0,Nayarit
2020-03-12,0,0,0,2,1,0,Nayarit
2020-03-13,0,0,0,2,1,0,Nayarit
2020-03-14,0,0,0,2,1,0,Nayarit
2020-03-15,1,0,0,3,1,0,Nayarit
2020-03-16,0,0,0,3,1,0,Nayarit
2020-03-17,1,0,0,4,1,0,Nayarit
2020-03-18,0,1,0,4,2,0,Nayarit
2020-03-19,1,1,0,5,3,0,Nayarit
2020-03-20,0,0,0,5,3,0,Nayarit
2020-03-21,1,0,0,6,3,0,Nayarit
2020-03-22,0,0,0,6,3,0,Nayarit
2020-03-23,0,2,0,6,5,0,Nayarit
2020-03-24,2,3,0,8,8,0,Nayarit
2020-03-25,0,0,0,8,8,0,Nayarit
2020-03-26,0,0,0,8,8,0,Nayarit
2020-03-27,2,0,0,10,8,0,Nayarit
2020-03-28,0,0,0,10,8,0,Nayarit
2020-03-29,0,0,0,10,8,0,Nayarit
2020-03-30,0,0,1,10,8,1,Nayarit
2020-03-31,3,2,0,13,10,1,Nayarit
2020-04-01,2,0,0,15,10,1,Nayarit
2020-04-02,3,0,0,18,10,1,Nayarit
2020-04-03,1,1,0,19,11,1,Nayarit
2020-04-04,3,4,0,22,15,1,Nayarit
2020-04-05,4,2,0,26,17,1,Nayarit
2020-04-06,1,2,0,27,19,1,Nayarit
2020-04-07,1,2,0,28,21,1,Nayarit
2020-04-08,3,2,2,31,23,3,Nayarit
2020-04-09,2,2,1,33,25,4,Nayarit
2020-04-10,4,0,0,37,25,4,Nayarit
2020-04-11,1,2,0,38,27,4,Nayarit
2020-04-12,1,3,1,39,30,5,Nayarit
2020-04-13,3,4,0,42,34,5,Nayarit
2020-04-14,3,2,0,45,36,5,Nayarit
2020-04-15,1,2,0,46,38,5,Nayarit
2020-04-16,2,3,0,48,41,5,Nayarit
2020-04-17,8,4,1,56,45,6,Nayarit
2020-04-18,3,2,0,59,47,6,Nayarit
2020-04-19,2,2,0,61,49,6,Nayarit
2020-04-20,1,1,1,62,50,7,Nayarit
2020-04-21,1,3,0,63,53,7,Nayarit
2020-04-22,0,4,0,63,57,7,Nayarit
2020-04-23,1,4,0,64,61,7,Nayarit
2020-04-24,0,3,0,64,64,7,Nayarit
2020-04-25,0,0,0,64,64,7,Nayarit
2020-04-26,0,0,0,64,64,7,Nayarit
2020-04-27,0,0,0,64,64,7,Nayarit
2020-03-02,1,0,0,1,0,0,Nuevo León
2020-03-03,0,0,0,1,0,0,Nuevo León
2020-03-04,1,0,0,2,0,0,Nuevo León
2020-03-05,1,0,0,3,0,0,Nuevo León
2020-03-06,1,0,0,4,0,0,Nuevo León
2020-03-07,2,0,0,6,0,0,Nuevo León
2020-03-08,0,0,0,6,0,0,Nuevo León
2020-03-09,9,0,0,15,0,0,Nuevo León
2020-03-10,2,2,0,17,2,0,Nuevo León
2020-03-11,5,4,0,22,6,0,Nuevo León
2020-03-12,2,0,0,24,6,0,Nuevo León
2020-03-13,6,5,0,30,11,0,Nuevo León
2020-03-14,8,6,0,38,17,0,Nuevo León
2020-03-15,7,0,0,45,17,0,Nuevo León
2020-03-16,3,6,0,48,23,0,Nuevo León
2020-03-17,8,6,0,56,29,0,Nuevo León
2020-03-18,6,9,0,62,38,0,Nuevo León
2020-03-19,5,4,0,67,42,0,Nuevo León
2020-03-20,5,12,0,72,54,0,Nuevo León
2020-03-21,3,4,0,75,58,0,Nuevo León
2020-03-22,4,4,0,79,62,0,Nuevo León
2020-03-23,3,5,0,82,67,0,Nuevo León
2020-03-24,1,5,0,83,72,0,Nuevo León
2020-03-25,2,0,0,85,72,0,Nuevo León
2020-03-26,3,2,0,88,74,0,Nuevo León
2020-03-27,2,8,0,90,82,0,Nuevo León
2020-03-28,1,2,0,91,84,0,Nuevo León
2020-03-29,2,3,0,93,87,0,Nuevo León
2020-03-30,4,4,0,97,91,0,Nuevo León
2020-03-31,7,0,0,104,91,0,Nuevo León
2020-04-01,5,0,0,109,91,0,Nuevo León
2020-04-02,10,5,0,119,96,0,Nuevo León
2020-04-03,7,2,2,126,98,2,Nuevo León
2020-04-04,2,3,0,128,101,2,Nuevo León
2020-04-05,7,2,1,135,103,3,Nuevo León
2020-04-06,10,10,0,145,113,3,Nuevo León
2020-04-07,13,6,2,158,119,5,Nuevo León
2020-04-08,10,8,0,168,127,5,Nuevo León
2020-04-09,11,1,0,179,128,5,Nuevo León
2020-04-10,22,22,0,201,150,5,Nuevo León
2020-04-11,14,8,0,215,158,5,Nuevo León
2020-04-12,6,15,0,221,173,5,Nuevo León
2020-04-13,10,18,0,231,191,5,Nuevo León
2020-04-14,8,16,0,239,207,5,Nuevo León
2020-04-15,5,3,0,244,210,5,Nuevo León
2020-04-16,8,11,0,252,221,5,Nuevo León
2020-04-17,7,8,0,259,229,5,Nuevo León
2020-04-18,6,7,0,265,236,5,Nuevo León
2020-04-19,4,1,1,269,237,6,Nuevo León
2020-04-20,4,12,1,273,249,7,Nuevo León
2020-04-21,5,15,0,278,264,7,Nuevo León
2020-04-22,5,10,1,283,274,8,Nuevo León
2020-04-23,1,4,1,284,278,9,Nuevo León
2020-04-24,0,4,0,284,282,9,Nuevo León
2020-04-25,0,2,0,284,284,9,Nuevo León
2020-04-26,0,0,0,284,284,9,Nuevo León
2020-04-27,0,0,0,284,284,9,Nuevo León
2020-03-09,1,0,0,1,0,0,Oaxaca
2020-03-10,1,0,0,2,0,0,Oaxaca
2020-03-11,0,0,0,2,0,0,Oaxaca
2020-03-12,2,0,0,4,0,0,Oaxaca
2020-03-13,0,2,0,4,2,0,Oaxaca
2020-03-14,0,0,0,4,2,0,Oaxaca
2020-03-15,0,0,0,4,2,0,Oaxaca
2020-03-16,1,0,0,5,2,0,Oaxaca
2020-03-17,0,0,0,5,2,0,Oaxaca
2020-03-18,0,0,0,5,2,0,Oaxaca
2020-03-19,2,1,0,7,3,0,Oaxaca
2020-03-20,3,1,0,10,4,0,Oaxaca
2020-03-21,1,1,0,11,5,0,Oaxaca
2020-03-22,1,1,0,12,6,0,Oaxaca
2020-03-23,4,2,0,16,8,0,Oaxaca
2020-03-24,1,1,0,17,9,0,Oaxaca
2020-03-25,1,3,0,18,12,0,Oaxaca
2020-03-26,3,3,0,21,15,0,Oaxaca
2020-03-27,3,1,0,24,16,0,Oaxaca
2020-03-28,4,1,0,28,17,0,Oaxaca
2020-03-29,3,2,1,31,19,1,Oaxaca
2020-03-30,3,2,0,34,21,1,Oaxaca
2020-03-31,1,5,0,35,26,1,Oaxaca
2020-04-01,0,1,0,35,27,1,Oaxaca
2020-04-02,0,0,0,35,27,1,Oaxaca
2020-04-03,5,3,0,40,30,1,Oaxaca
2020-04-04,2,2,0,42,32,1,Oaxaca
2020-04-05,3,2,0,45,34,1,Oaxaca
2020-04-06,5,6,0,50,40,1,Oaxaca
2020-04-07,0,0,0,50,40,1,Oaxaca
2020-04-08,2,4,0,52,44,1,Oaxaca
2020-04-09,6,0,1,58,44,2,Oaxaca
2020-04-10,7,2,0,65,46,2,Oaxaca
2020-04-11,0,1,1,65,47,3,Oaxaca
2020-04-12,4,2,0,69,49,3,Oaxaca
2020-04-13,1,5,0,70,54,3,Oaxaca
2020-04-14,10,4,1,80,58,4,Oaxaca
2020-04-15,8,7,0,88,65,4,Oaxaca
2020-04-16,4,4,1,92,69,5,Oaxaca
2020-04-17,2,8,1,94,77,6,Oaxaca
2020-04-18,6,3,0,100,80,6,Oaxaca
2020-04-19,6,3,0,106,83,6,Oaxaca
2020-04-20,4,5,1,110,88,7,Oaxaca
2020-04-21,1,2,1,111,90,8,Oaxaca
2020-04-22,1,8,1,112,98,9,Oaxaca
2020-04-23,1,7,4,113,105,13,Oaxaca
2020-04-24,4,5,1,117,110,14,Oaxaca
2020-04-25,0,4,0,117,114,14,Oaxaca
2020-04-26,0,3,1,117,117,15,Oaxaca
2020-04-27,0,0,0,117,117,15,Oaxaca
2020-03-05,2,0,0,2,0,0,Puebla
2020-03-06,0,0,0,2,0,0,Puebla
2020-03-07,0,0,0,2,0,0,Puebla
2020-03-08,2,0,0,4,0,0,Puebla
2020-03-09,4,0,0,8,0,0,Puebla
2020-03-10,3,0,0,11,0,0,Puebla
2020-03-11,2,1,0,13,1,0,Puebla
2020-03-12,1,1,0,14,2,0,Puebla
2020-03-13,4,4,0,18,6,0,Puebla
2020-03-14,4,2,0,22,8,0,Puebla
2020-03-15,3,3,0,25,11,0,Puebla
2020-03-16,11,2,0,36,13,0,Puebla
2020-03-17,4,3,0,40,16,0,Puebla
2020-03-18,6,3,0,46,19,0,Puebla
2020-03-19,1,5,0,47,24,0,Puebla
2020-03-20,10,5,0,57,29,0,Puebla
2020-03-21,9,4,0,66,33,0,Puebla
2020-03-22,9,1,0,75,34,0,Puebla
2020-03-23,15,8,0,90,42,0,Puebla
2020-03-24,7,15,0,97,57,0,Puebla
2020-03-25,4,6,0,101,63,0,Puebla
2020-03-26,6,14,0,107,77,0,Puebla
2020-03-27,13,8,1,120,85,1,Puebla
2020-03-28,24,12,1,144,97,2,Puebla
2020-03-29,25,4,0,169,101,2,Puebla
2020-03-30,19,14,0,188,115,2,Puebla
2020-03-31,9,21,1,197,136,3,Puebla
2020-04-01,16,13,1,213,149,4,Puebla
2020-04-02,23,18,1,236,167,5,Puebla
2020-04-03,17,14,1,253,181,6,Puebla
2020-04-04,12,10,3,265,191,9,Puebla
2020-04-05,12,6,3,277,197,12,Puebla
2020-04-06,18,22,4,295,219,16,Puebla
2020-04-07,6,12,7,301,231,23,Puebla
2020-04-08,6,20,1,307,251,24,Puebla
2020-04-09,10,11,1,317,262,25,Puebla
2020-04-10,16,8,4,333,270,29,Puebla
2020-04-11,19,14,5,352,284,34,Puebla
2020-04-12,17,4,2,369,288,36,Puebla
2020-04-13,25,21,2,394,309,38,Puebla
2020-04-14,16,10,4,410,319,42,Puebla
2020-04-15,14,23,1,424,342,43,Puebla
2020-04-16,21,17,4,445,359,47,Puebla
2020-04-17,24,28,2,469,387,49,Puebla
2020-04-18,22,23,5,491,410,54,Puebla
2020-04-19,18,14,4,509,424,58,Puebla
2020-04-20,13,24,3,522,448,61,Puebla
2020-04-21,14,16,2,536,464,63,Puebla
2020-04-22,5,25,3,541,489,66,Puebla
2020-04-23,8,27,3,549,516,69,Puebla
2020-04-24,2,21,0,551,537,69,Puebla
2020-04-25,1,13,0,552,550,69,Puebla
2020-04-26,0,2,0,552,552,69,Puebla
2020-04-27,0,0,0,552,552,69,Puebla
2020-03-05,1,0,0,1,0,0,Querétaro
2020-03-06,0,0,0,1,0,0,Querétaro
2020-03-07,0,0,0,1,0,0,Querétaro
2020-03-08,1,0,0,2,0,0,Querétaro
2020-03-09,1,0,0,3,0,0,Querétaro
2020-03-10,4,2,0,7,2,0,Querétaro
2020-03-11,1,1,0,8,3,0,Querétaro
2020-03-12,0,1,0,8,4,0,Querétaro
2020-03-13,1,2,0,9,6,0,Querétaro
2020-03-14,1,1,0,10,7,0,Querétaro
2020-03-15,1,0,0,11,7,0,Querétaro
2020-03-16,3,0,0,14,7,0,Querétaro
2020-03-17,3,2,0,17,9,0,Querétaro
2020-03-18,2,2,0,19,11,0,Querétaro
2020-03-19,0,3,0,19,14,0,Querétaro
2020-03-20,3,0,0,22,14,0,Querétaro
2020-03-21,2,1,0,24,15,0,Querétaro
2020-03-22,2,0,0,26,15,0,Querétaro
2020-03-23,3,3,0,29,18,0,Querétaro
2020-03-24,0,4,0,29,22,0,Querétaro
2020-03-25,3,2,0,32,24,0,Querétaro
2020-03-26,3,1,0,35,25,0,Querétaro
2020-03-27,2,3,0,37,28,0,Querétaro
2020-03-28,2,0,1,39,28,1,Querétaro
2020-03-29,1,1,0,40,29,1,Querétaro
2020-03-30,1,1,0,41,30,1,Querétaro
2020-03-31,1,5,0,42,35,1,Querétaro
2020-04-01,4,4,0,46,39,1,Querétaro
2020-04-02,2,1,1,48,40,2,Querétaro
2020-04-03,4,4,0,52,44,2,Querétaro
2020-04-04,3,1,0,55,45,2,Querétaro
2020-04-05,2,0,0,57,45,2,Querétaro
2020-04-06,3,4,0,60,49,2,Querétaro
2020-04-07,3,4,0,63,53,2,Querétaro
2020-04-08,1,3,0,64,56,2,Querétaro
2020-04-09,3,3,0,67,59,2,Querétaro
2020-04-10,4,2,1,71,61,3,Querétaro
2020-04-11,5,2,1,76,63,4,Querétaro
2020-04-12,6,1,0,82,64,4,Querétaro
2020-04-13,1,6,0,83,70,4,Querétaro
2020-04-14,3,7,1,86,77,5,Querétaro
2020-04-15,6,2,1,92,79,6,Querétaro
2020-04-16,2,5,0,94,84,6,Querétaro
2020-04-17,5,5,0,99,89,6,Querétaro
2020-04-18,7,2,0,106,91,6,Querétaro
2020-04-19,3,2,0,109,93,6,Querétaro
2020-04-20,5,5,0,114,98,6,Querétaro
2020-04-21,3,1,1,117,99,7,Querétaro
2020-04-22,3,6,0,120,105,7,Querétaro
2020-04-23,1,9,0,121,114,7,Querétaro
2020-04-24,0,7,0,121,121,7,Querétaro
2020-04-25,0,0,1,121,121,8,Querétaro
2020-04-26,0,0,1,121,121,9,Querétaro
2020-04-27,0,0,0,121,121,9,Querétaro
2020-03-01,1,0,0,1,0,0,Quintana Roo
2020-03-02,0,0,0,1,0,0,Quintana Roo
2020-03-03,0,0,0,1,0,0,Quintana Roo
2020-03-04,0,0,0,1,0,0,Quintana Roo
2020-03-05,0,0,0,1,0,0,Quintana Roo
2020-03-06,0,0,0,1,0,0,Quintana Roo
2020-03-07,0,0,0,1,0,0,Quintana Roo
2020-03-08,1,0,0,2,0,0,Quintana Roo
2020-03-09,1,0,0,3,0,0,Quintana Roo
2020-03-10,2,0,0,5,0,0,Quintana Roo
2020-03-11,3,2,0,8,2,0,Quintana Roo
2020-03-12,1,1,0,9,3,0,Quintana Roo
2020-03-13,3,0,0,12,3,0,Quintana Roo
2020-03-14,4,4,0,16,7,0,Quintana Roo
2020-03-15,6,0,0,22,7,0,Quintana Roo
2020-03-16,2,3,0,24,10,0,Quintana Roo
2020-03-17,3,4,0,27,14,0,Quintana Roo
2020-03-18,7,2,0,34,16,0,Quintana Roo
2020-03-19,4,5,0,38,21,0,Quintana Roo
2020-03-20,8,0,0,46,21,0,Quintana Roo
2020-03-21,9,3,0,55,24,0,Quintana Roo
2020-03-22,6,4,0,61,28,0,Quintana Roo
2020-03-23,10,4,0,71,32,0,Quintana Roo
2020-03-24,6,9,0,77,41,0,Quintana Roo
2020-03-25,13,11,0,90,52,0,Quintana Roo
2020-03-26,6,9,1,96,61,1,Quintana Roo
2020-03-27,21,7,1,117,68,2,Quintana Roo
2020-03-28,16,7,1,133,75,3,Quintana Roo
2020-03-29,18,3,0,151,78,3,Quintana Roo
2020-03-30,17,22,0,168,100,3,Quintana Roo
2020-03-31,13,14,2,181,114,5,Quintana Roo
2020-04-01,19,23,1,200,137,6,Quintana Roo
2020-04-02,15,12,2,215,149,8,Quintana Roo
2020-04-03,18,13,2,233,162,10,Quintana Roo
2020-04-04,14,8,1,247,170,11,Quintana Roo
2020-04-05,25,10,1,272,180,12,Quintana Roo
2020-04-06,28,29,2,300,209,14,Quintana Roo
2020-04-07,15,18,2,315,227,16,Quintana Roo
2020-04-08,20,26,3,335,253,19,Quintana Roo
2020-04-09,25,9,3,360,262,22,Quintana Roo
2020-04-10,31,23,2,391,285,24,Quintana Roo
2020-04-11,32,17,2,423,302,26,Quintana Roo
2020-04-12,28,21,4,451,323,30,Quintana Roo
2020-04-13,24,22,5,475,345,35,Quintana Roo
2020-04-14,25,19,3,500,364,38,Quintana Roo
2020-04-15,25,22,0,525,386,38,Quintana Roo
2020-04-16,29,31,1,554,417,39,Quintana Roo
2020-04-17,23,36,3,577,453,42,Quintana Roo
2020-04-18,24,36,6,601,489,48,Quintana Roo
2020-04-19,16,20,6,617,509,54,Quintana Roo
2020-04-20,22,43,9,639,552,63,Quintana Roo
2020-04-21,9,33,5,648,585,68,Quintana Roo
2020-04-22,4,29,6,652,614,74,Quintana Roo
2020-04-23,0,24,4,652,638,78,Quintana Roo
2020-04-24,1,9,4,653,647,82,Quintana Roo
2020-04-25,0,6,2,653,653,84,Quintana Roo
2020-04-26,0,0,2,653,653,86,Quintana Roo
2020-04-27,0,0,0,653,653,86,Quintana Roo
2020-03-07,1,0,0,1,0,0,San Luis Potosí
2020-03-08,0,0,0,1,0,0,San Luis Potosí
2020-03-09,1,0,0,2,0,0,San Luis Potosí
2020-03-10,0,0,0,2,0,0,San Luis Potosí
2020-03-11,1,0,0,3,0,0,San Luis Potosí
2020-03-12,1,0,0,4,0,0,San Luis Potosí
2020-03-13,0,2,0,4,2,0,San Luis Potosí
2020-03-14,1,0,0,5,2,0,San Luis Potosí
2020-03-15,4,0,0,9,2,0,San Luis Potosí
2020-03-16,2,1,0,11,3,0,San Luis Potosí
2020-03-17,1,5,0,12,8,0,San Luis Potosí
2020-03-18,4,1,0,16,9,0,San Luis Potosí
2020-03-19,2,3,0,18,12,0,San Luis Potosí
2020-03-20,1,3,0,19,15,0,San Luis Potosí
2020-03-21,2,4,0,21,19,0,San Luis Potosí
2020-03-22,3,1,0,24,20,0,San Luis Potosí
2020-03-23,0,2,0,24,22,0,San Luis Potosí
2020-03-24,5,0,1,29,22,1,San Luis Potosí
2020-03-25,3,0,1,32,22,2,San Luis Potosí
2020-03-26,1,1,0,33,23,2,San Luis Potosí
2020-03-27,3,6,0,36,29,2,San Luis Potosí
2020-03-28,1,0,0,37,29,2,San Luis Potosí
2020-03-29,2,6,0,39,35,2,San Luis Potosí
2020-03-30,1,3,1,40,38,3,San Luis Potosí
2020-03-31,4,2,0,44,40,3,San Luis Potosí
