estado	ciudad	poblacion_2010
Chihuahua	Chihuahua	809232
Sonora	Hermosillo	715061
Coahuila de Zaragoza	Saltillo	725123
Durango	Victoria de Durango	518709
Oaxaca	Oaxaca de Juárez	255029
Tamaulipas	Ciudad Victoria	305155
Jalisco	Guadalajara	1495182
Zacatecas	Zacatecas	129011
Baja California Sur	La Paz	215178
Chiapas	Tuxtla Gutiérrez	537102
Veracruz	Xalapa-Enríquez	424755
Baja California	Mexicali	689775
Nuevo León	Monterrey	1135512
Guerrero	Chilpancingo de los Bravo	187251
San Luis Potosí	San Luis Potosí	772604
Michoacán	Morelia	597511
Sinaloa	Culiacán Rosales	858638
Campeche	San Francisco de Campeche	220389
Quintana Roo	Chetumal	151243
Yucatán	Mérida	777615
Puebla	Puebla de Zaragoza	1434062
Guanajuato	Guanajuato	184239
Nayarit	Tepic	332863
Tabasco	Villahermosa	353577
Estado de México	Toluca de Lerdo	489333
Hidalgo	Pachuca de Soto	256584
Querétaro	Santiago de Querétaro	626495
Colima	Colima	137383
Aguascalientes	Aguascalientes	777615
Morelos	Cuernavaca	338650
Tlaxcala	Tlaxcala de Xicohténcatl	95051
Ciudad de México	Ciudad de México	8851080