estado	superficie_km2	poblacion_2015	densiad_2015
Chihuahua	247455	3556574	14.3726091612616
Sonora	179355	2850330	15.8921134063728
Coahuila de Zaragoza	151562	2954915	19.4964107098085
Durango	123317	1754754	14.2296195982711
Oaxaca	93757	3967889	42.3209893661273
Tamaulipas	80249	3441698	42.8877369188401
Jalisco	78588	7844830	99.822237491729
Zacatecas	75284	1579209	20.9766882737368
Baja California Sur	73909	712029	9.63386055825407
Chiapas	73311	5217908	71.1749669217443
Veracruz	71826	8112505	112.946634923287
Baja California	71450	3315766	46.4068019594122
Nuevo León	64156	5119504	79.797743001434
Guerrero	63596	3533251	55.5577552047299
San Luis Potosí	61137	2717820	44.4545856028264
Michoacán	58599	4584471	78.2346285772795
Sinaloa	58200	2966321	50.9677147766323
Campeche	57507	899931	15.6490688090146
Quintana Roo	44705	1501562	33.5882339783022
Yucatán	39524	2097175	53.0607985021759
Puebla	34306	6168883	179.819361044715
Guanajuato	30608	5853677	191.246634866702
Nayarit	27857	1181050	42.3968840865851
Tabasco	24731	2395272	96.8530184788322
Estado de México	22351	16187608	724.245358149524
Hidalgo	20813	2858359	137.335271224715
Querétaro	11699	2038372	174.234720916318
Colima	5627	711235	126.396836680291
Aguascalientes	5616	1312544	233.7150997151
Morelos	4879	1903811	390.205164992826
Tlaxcala	4016	1272847	316.943974103586
Ciudad de México	1495	8918653	5965.65418060201